Batch,scan004_Borosilicate_EPA_vial_%T_190_to_800.sre
EV300,140607
Data Mode,%T  None
Sample,Borosil_%T_190-800_after_ZB
Cycle,Cycle01
Date Collected,7/27/2016
Time Collected,2:49:00PM
Entries,Data Points
nm,%T
475.60,98.2268
475.80,98.0769
476.00,98.2060
476.20,98.0890
476.40,98.3114
476.60,98.1457
476.80,98.1008
477.00,98.3064
477.20,98.3036
477.40,98.3076
477.60,98.2878
477.80,98.1485
478.00,98.1279
478.20,98.2397
478.40,98.1451
478.60,98.2207
478.80,98.2508
479.00,98.2450
479.20,98.2447
479.40,98.2813
479.60,98.2790
479.80,98.1178
480.00,98.2999
480.20,98.2153
480.40,98.2293
480.60,98.3157
480.80,98.1167
481.00,98.1855
481.20,98.1042
481.40,98.2653
481.60,98.2069
481.80,98.1333
482.00,98.3378
482.20,98.2944
482.40,97.8831
482.60,98.1273
482.80,98.3130
483.00,98.1209
483.20,98.1088
483.40,98.1665
483.60,98.0685
483.80,97.7873
